Job Class,Percentage,Links,,
Management,6.1,https://managementhelp.org/management/index.htm,,
Business and Financial operations,5,https://collegegrad.com/careers/business-and-financial,,
Computer and Mathematical,2.7,https://www.learnhowtobecome.org/computer-careers/,,
Architecture and Engineering,1.7,https://learn.org/articles/Architectural_Engineering_How_to_Become_an_Architectural_Engineer_in_5_Steps.html,,
"Life, Physical and Social Science",0.9,https://www.onlinedegree.com/career/life-physical-science/,,
Community and Social Service,1.6,https://www.brown.edu/academics/college/advising/law-school/fields-law/fields-law,,
Legal,0.8,https://resourced.prometheanworld.com/pedagogy-learning-practices/,,
"Education, training and library",6.1,https://www.bls.gov/ooh/education-training-and-library/home.htm,,
"Arts, design, entertainment, sports and media",1.7,https://datausa.io/profile/soc/arts-design-entertainment-sports-media-occupations,,
Healthcare practioners and technical,5.5,https://www.bls.gov/oes/current/oes290000.htm,,
Healthcare support,2.8,https://www.thebalancecareers.com/health-care-support-careers-525634,,
Protective service,2.3,https://collegegrad.com/careers/protective-service,,
Food preparation and serving,8.3,https://www.raise.me/careers/food-preparation-and-serving/food-preparation-workers,,
Building and grounds cleaning and maintenance,3.7,https://collegegrad.com/careers/building-and-grounds-cleaning,,
Personal care and service,4,https://thebestschools.org/careers/personal-care-careers/,,
Sales,10.2,https://blog.hubspot.com/sales/types-of-sales-jobs,,
Office and administrative support,15.1,https://www.onetonline.org/find/family?f=43,,
"Farming, fishing and forestry",0.6,https://www.onetonline.org/find/family?f=45,,
Construction and extraction,4.3,https://www.bls.gov/ooh/construction-and-extraction/home.htm,,
"Installation, maintenance and repair",3.8,https://collegegrad.com/careers/installation-maintenance-and-repair,,
Production,6.1,https://thebestschools.org/careers/production-careers/,,
Transportation and material moving,6.5,https://collegegrad.com/careers/transportation-and-material-moving,,
Total,99.8,,,
